ATK Tahtitieteessa kurssin harjoitustyo:
Kirkkaimpien tahtien koordinaatit ja naennainen magnitudi
      RA (deg)     DEC (deg)     VMAG 
     72.843750     18.839724     5.100
     72.140831    -43.980000     6.720
     72.548332    -16.217222     5.030
     73.199165     42.586666     5.710
     73.158333     36.703056     4.780
     72.801666      5.605000     3.690
     72.930832      9.974999     6.110
     73.196251     27.897499     5.970
     73.762917     55.259167     5.520
     73.133331     14.250556     4.740
     72.567497    -41.320831     6.070
     73.713753     44.060833     6.080
     72.867500    -34.906391     5.860
     73.223747     -5.452777     4.390
     74.029587     52.869442     5.750
     73.345001      2.508055     5.330
     72.730003    -53.461391     5.610
     72.734581    -53.459724     6.420
     73.482498      1.569444     6.610
     73.742920     19.485277     6.370
     73.562920      2.440556     3.720
     74.321663     53.752224     4.470
     73.695419     11.426111     5.190
     73.724167     10.150833     4.650
     73.699165      7.779166     5.330
     75.583748     74.269173     6.060
     74.082916     36.168892     6.070
     73.711250      0.467500     5.990
     74.065002     24.592222     6.370
     73.959587     15.040001     5.810
     74.248337     33.166111     2.690
     73.993332      5.399167     6.500
     73.778336    -16.740557     5.700
     74.092918     13.514444     4.070
     73.827499    -16.417778     5.720
     74.100830     -5.171389     5.510
     73.875832    -25.727777     6.720
     73.728333    -39.628609     6.100
     74.342918     17.153610     5.480
     74.452919     23.948610     5.790
     76.054169     73.763885     6.660
     74.942917     53.155556     6.080
     76.165833     74.066940     5.960
     74.539169     25.050278     5.810
     74.321663     -1.067222     6.230
     74.814163     37.890278     4.940
     75.399582     61.078056     6.030
     75.709999     66.822777     6.190
     74.436668    -14.231388     6.150
     74.544998     -2.212500     6.350
     73.720833    -58.547222     6.120
     73.377083    -66.675552     6.410
     75.076248     39.394726     5.950
     74.747498     14.542778     6.090
     74.637085      1.714167     4.470
     75.096664     39.655003     6.580
     75.854584     60.442223     4.030
     74.755417    -16.375834     5.660
     75.492081     43.823334     2.990
     73.272919    -72.407501     6.280
     74.902084    -14.805834     7.710
     74.959999    -10.263333     5.380
     75.135834      3.615278     7.030
     75.141251      3.616111     6.660
     74.982498    -12.537500     4.790
     75.619583     41.075832     3.750
     75.165833     -2.065556     6.320
     75.204170     -5.753334     6.220
     75.827499     41.441669     6.140
     82.949997     85.938614     6.510
     75.359581     -7.173889     4.810
     75.459587      0.722222     5.920
     75.500000      1.608889     6.240
     75.773750     21.590000     4.640
     75.356667    -20.051943     4.910
     76.535416     58.972500     5.080
     76.550835     59.021111     6.080
     76.623749     61.170002     6.040
     75.689583     -4.209722     5.850
     76.060417     30.494722     6.140
     76.153748     32.320278     6.620
     75.540833    -26.275000     5.020
     73.796669    -74.936943     5.470
     76.591667     54.405834     7.240
     75.393753    -39.718056     6.030
     76.157913     27.696110     6.600
     76.089996     21.278055     6.190
     75.687080    -22.795000     5.750
     75.595001    -31.771389     5.940
     77.402916     69.639442     6.410
     76.669167     51.597778     5.000
     76.142082     15.404166     4.680
     76.503754     35.936390     6.520
     75.966667    -14.369445     6.410
     76.628754     41.234444     3.170
     76.383751     19.806389     6.440
     78.093330     73.946671     5.430
     76.706665     43.174725     6.200
     75.972084    -24.387777     5.610
     76.227081     -3.039722     6.050
     77.435417     64.919441     6.410
     76.348747      1.177500     6.170
     75.702499    -49.151390     5.380
     78.648331     76.472778     6.370
     75.974998    -41.744999     6.310
     76.101669    -35.483334     4.550
     76.108749    -35.705280     6.340
     76.365417    -22.371111     3.190
     76.317497    -26.152500     5.730
     76.862503     18.645000     5.000
     76.690414     -4.655000     5.120
     76.951668     20.418333     5.300
     77.027496     24.265278     5.500
     76.981247     21.704723     5.890
     76.652916    -13.121944     6.050
     76.909584      9.471944     6.170
     76.241669    -49.577778     5.030
     76.970413      8.498334     5.340
     76.854164    -12.490556     5.970
     76.962502     -5.086389     2.790
     76.252502    -54.407501     6.270
     77.678749     46.962223     5.680
     77.578751     37.301945     6.020
     77.437920     28.030556     6.010
     77.084167     -8.665000     5.780
     77.331665      9.829444     5.430
     77.181664     -4.456111     5.120
     76.377502    -57.472778     4.720
     78.263336     61.849998     6.170
     77.425003     15.597222     4.820
     75.679169    -71.314445     5.310
     78.380417     62.691391     6.500
     77.286667     -8.754167     4.270
     77.061668    -35.718334     6.520
     77.513336     -0.565278     6.100
     75.055000    -78.300278     6.290
     79.555420     73.268059     5.740
     77.923332     16.045555     5.180
     77.741669     -2.253889     6.250
     80.639580     79.231110     5.050
     77.830002     -2.490833     5.900
     78.797081     59.405556     6.150
     78.357086     38.484444     4.860
     77.922501      0.514722     6.670
     77.938751      1.036944     5.890
     78.684586     53.213890     6.200
     77.845001    -11.849166     5.680
     77.685417    -25.909445     6.410
     76.891670    -63.399723     5.200
     78.074585    -11.869166     4.450
     78.200836     -6.057222     5.910
     78.322914      2.861111     4.460
     77.899582    -37.395279     6.570
     76.538750    -73.037781     6.270
     78.381668      1.968056     6.090
     78.232918    -16.205557     3.310
     78.446663      0.560278     6.320
     78.388748     -8.147778     6.370
     78.307915    -12.941389     4.360
     78.851669     32.687778     5.020
     79.324165     53.586109     6.500
     79.172501     45.998055     0.080
     78.683746      5.156111     5.500
     78.499580    -14.606668     6.210
     78.865417     22.284721     6.270
     79.075836     34.311943     5.960
     78.634583     -8.201667     0.120
     85.952919     85.668053     6.600
     78.443748    -35.825554     6.980
     74.712082    -82.470558     5.850
     78.826668     -1.409167     6.150
     79.017082     11.341389     5.560
     79.865837     58.117222     6.130
     80.094170     62.653614     5.610
     78.620003    -35.977222     5.760
     79.566254     42.792221     5.480
     78.851250    -26.943333     5.070
     79.171249      1.947222     6.420
     79.668335     40.465000     6.180
     79.544586     33.371666     4.540
     78.472084    -52.031113     6.050
     79.578751     33.767223     6.140
     79.785416     40.099167     4.710
     78.945831    -34.926666     6.660
     79.200417    -17.141666     6.560
     79.750000     33.748333     5.410
     80.009583     44.425556     6.620
     79.848335     33.985558     6.490
     79.401665     -6.844445     3.600
     80.163750     46.963890     6.540
     79.417503    -13.519722     5.500
     80.061668     41.086109     5.520
     79.819168     22.096390     4.940
     80.003754     33.958057     5.030
     79.811249     20.134722     6.080
     78.912086    -52.181946     6.490
     79.371246    -34.895279     4.830
     78.439163    -67.185280     4.830
     82.357086     77.977501     6.560
     79.796669      2.595833     5.340
     79.709999    -18.130001     5.960
     79.896667     -1.412222     6.340
     80.451668     41.804443     5.230
     80.247086     27.957224     6.330
     80.865837     57.544445     5.280
     80.302917     29.570002     5.760
     79.822914    -18.520000     6.360
     79.826248    -18.509722     6.540
     80.235832     19.814165     6.180
     79.893753    -13.176667     4.290
     79.996246    -12.315556     5.300
     79.848747    -27.368889     5.990
     80.110001     -5.366667     6.390
     80.709587     41.029446     5.540
     80.330414      4.011944     6.570
     80.112083    -21.239445     4.710
     80.431664      8.428612     5.800
     80.382500     -0.416389     5.680
     80.440414     -0.382500     4.730
     80.085831    -34.698891     6.340
     79.842087    -50.606110     5.450
     80.845413     28.936666     6.460
     80.462502    -13.756111     6.560
     80.708336      3.544444     5.000
     80.442497    -24.773056     5.060
     80.320419    -34.345276     6.090
     81.163330     37.385559     4.990
     80.907082     16.699444     6.080
     81.159584     31.223890     6.280
     81.160416     31.143055     5.940
     80.879585      5.322500     6.350
     80.827080     -8.415833     5.900
     81.304169     34.855278     6.550
     81.105835     17.383333     4.990
     80.926247     -0.159722     5.700
     80.964165     -0.867222     6.110
     80.875832    -13.927222     5.250
     80.986664     -7.808056     4.140
     80.800003    -26.705833     6.490
     81.150833      2.352778     6.320
     81.120415     -0.891389     5.080
     81.119164     -2.396944     3.360
     81.186668      1.846389     4.950
     81.282913      6.349722     1.640
     81.572914     28.607500     1.650
     81.118332    -16.976112     5.650
     80.849998    -39.678612     5.710
     81.726250     35.457222     6.150
     81.703751     34.391670     5.940
     81.713753     33.262779     6.150
     80.912498    -37.336666     6.820
     81.523750     16.700279     6.250
     81.256668    -10.329166     5.610
     81.379997     -0.544167     6.570
     80.592087    -56.134445     6.110
     82.542503     63.067223     5.420
     81.445831      0.520833     6.160
     81.784584     30.208612     5.740
     81.912086     34.475834     5.070
     81.510002     -5.518333     6.230
     81.661667      6.869167     6.420
     81.792084     17.962223     5.420
     81.807503     15.257778     6.160
     81.908752     21.936943     4.880
     81.709167      3.095556     4.590
     81.499168    -19.695555     5.890
     81.231667    -44.225834     6.080
     81.940002     15.874166     5.500
     78.107086    -81.541664     6.510
     82.006668     17.238890     5.770
     81.769997    -11.900833     6.350
     81.192497    -52.316387     6.270
     82.144997     13.678889     6.350
     82.006668      1.298333     6.410
     82.318748     25.150555     5.470
     82.419167     29.186388     6.240
     81.902084    -21.375555     6.070
     82.702499     41.461945     6.000
     82.687920     39.825832     6.370
     82.236252     -3.307500     6.390
     81.772087    -40.943611     5.870
     83.140831     57.221111     6.480
     82.061249    -20.759445     2.840
     82.348335     -3.446389     5.790
     82.680832     22.462502     6.290
     82.608749     15.360278     5.940
     82.478333      1.789167     5.780
     82.433334     -1.092222     4.710
     82.063751    -37.230556     5.570
     81.580414    -58.912502     5.140
     82.582497      4.204166     6.210
     82.277916    -30.116667     6.750
     82.696251      5.948056     4.200
     82.586250     -7.434722     6.330
     82.810417      3.292222     5.460
     83.182083     32.191944     4.760
     84.932083     75.043892     6.170
     83.053337     18.594444     4.380
     83.369583     42.108887     6.550
     83.059166     17.058054     5.460
     82.837082     -6.708333     6.220
     82.781670    -20.863611     5.550
     83.364586     32.801109     6.480
     83.002083     -0.284444     6.850
     83.001663     -0.299167     2.230
     84.317497     66.696114     6.260
     83.408333     34.725834     6.270
     82.982498     -7.301389     4.620
     82.539581    -47.077778     5.460
     84.312920     64.154724     6.150
     83.381668     18.540277     5.690
     81.750000    -68.622780     6.030
     83.411667     20.474167     6.180
     83.172081     -1.591944     5.350
     82.802917    -35.470554     3.870
     83.279999     -1.718333     6.460
     83.476250     14.305555     5.640
     83.182503    -17.822224     2.580
     84.146667     54.428890     5.730
     82.322502    -62.314445     6.590
     83.380836     -1.156111     5.340
     84.066254     47.715279     6.110
     82.900414    -45.925278     5.860
     83.489998      1.407778     6.590
     83.569580      3.766944     5.360
     83.516251     -1.035555     6.220
     83.516670     -1.470556     5.930
     83.862915     24.039444     5.380
     83.705002      9.489445     4.410
     83.213753    -38.513054     5.480
     83.981247     27.662222     6.270
     83.784584      9.934167     3.540
     83.785416      9.935000     5.610
     83.280830    -35.139725     5.780
     82.566254    -63.927780     6.190
     83.805832     10.240001     5.600
     84.218330     40.182224     6.090
     90.334167     85.182220     6.110
     83.753754     -6.009167     5.670
     83.761253     -6.001945     4.780
     83.467087    -29.848890     6.530
     84.125832     25.939444     6.490
     83.840836     -4.493333     6.560
     83.843750     -4.425278     6.240
     83.846664     -4.838334     4.590
     83.816254     -5.387222     6.730
     83.817085     -5.385278     7.960
     83.818748     -5.389722     5.130
     83.822083     -5.387778     6.700
     83.845413     -5.416111     5.080
     83.879585     -4.364722     6.380
     83.858330     -5.910000     2.770
     83.899170     -3.252778     6.400
     83.914581     -4.855833     5.260
     84.286667     26.924166     5.830
     84.053337     -1.201944     1.700
     84.440414     33.559166     6.330
     84.265831     17.040277     5.540
     84.062500     -5.648056     6.540
     84.226250      9.290556     4.090
     84.268333     11.035001     5.940
     83.814163    -33.079998     5.780
     84.411247     21.142500     3.000
     84.148750     -6.065000     5.720
     83.434998    -54.902225     6.430
     84.330414      8.951944     6.120
     84.658752     30.492500     5.400
     84.042915    -28.707779     6.260
     85.610001     65.697777     5.600
     83.248337    -64.227501     5.340
     84.364166     -5.938334     6.050
     84.286667    -11.775556     6.110
     84.504585      7.541389     5.880
     84.739166     26.617779     6.370
     83.406250    -62.489723     3.760
     84.472504     -4.813612     6.190
     84.826668     29.215279     5.960
     85.334587     53.481113     6.230
     84.318748    -27.871389     6.160
     84.011253    -47.313889     6.110
     84.934166     25.896944     5.180
     84.862503     21.762777     6.340
     83.760002    -58.871109     6.750
     84.686668     -2.600000     3.810
     84.696251     -2.594167     6.650
     84.657501     -6.573889     5.960
     84.796249      4.121389     4.570
     84.435837    -28.689444     5.310
     83.739998    -61.175835     6.320
     84.721252     -7.213055     4.800
     85.149582     31.358055     6.040
     85.175415     31.920834     6.110
     84.879997     -3.564722     6.000
     85.756668     56.581665     6.050
     84.878334     -9.706667     6.500
     86.035835     61.476665     6.150
     84.817917    -17.849445     6.380
     85.337502     29.487501     6.430
     85.323753     16.533888     4.860
     84.681664    -40.707500     5.820
     85.189583     -1.942778     2.050
     85.190002     -1.942778     4.210
     85.155418     -2.825000     6.220
     85.477501     23.326389     6.590
     85.210831     -1.128889     4.950
     82.970413    -76.341110     5.190
     85.516251     22.660278     6.360
     85.273331      0.337778     5.930
     84.912086    -34.074165     2.640
     85.191666    -10.409444     6.520
     84.957497    -32.629166     5.450
     85.417915     -2.896111     6.420
     84.227913    -66.560280     6.310
     85.831253     23.204168     6.210
     85.422920    -16.725555     6.210
     85.619164      1.474722     4.910
     83.686249    -73.741386     5.780
     85.559586    -17.530277     6.150
     85.362503    -33.400558     6.340
     85.724167     -6.796111     6.020
     85.557915    -22.373611     5.870
     86.626663     56.115555     5.940
     85.788750     -1.613056     6.310
     86.474998     49.826389     5.470
     85.548332    -30.535555     6.190
     85.562920    -34.667778     5.290
     86.456253     40.507221     6.580
     85.839996    -18.557499     5.730
     87.270416     62.808056     6.130
     86.414169     20.695000     6.950
     86.257919      4.008056     6.090
     86.811249     42.526665     6.290
     86.118332    -20.126389     6.340
     85.875832    -39.406944     6.250
     86.110420    -22.421665     6.150
     86.115837    -22.448332     3.600
     85.921249    -45.833054     6.390
     86.689583     15.822500     6.000
     86.511665     -4.268333     6.340
     86.717087      9.522222     5.790
     86.645836      1.168056     5.950
     86.805000     14.488334     5.720
     86.859169     17.729168     5.490
     83.901253    -78.820831     6.050
     87.641670     56.918892     6.540
     86.928749     13.899722     5.290
     88.231247     68.471390     6.200
     87.293747     39.181114     4.520
     86.499580    -32.306389     5.170
     87.093330     20.869444     6.070
     86.738747    -14.821944     3.550
     87.000832      6.454166     5.270
     86.781670    -16.237778     6.170
     86.861252    -10.533055     6.030
     87.254166     24.567501     4.860
     87.735001     51.514721     6.290
     86.939163     -9.669723     2.060
     86.769585    -28.639166     6.220
     88.072502     58.964169     6.140
     87.145416     -4.094722     5.970
     86.614166    -46.597221     5.310
     86.827499    -35.674725     6.320
     87.387085     12.651111     4.910
     87.760002     37.305553     4.740
     87.872498     39.148613     3.970
     87.742081     27.967779     5.560
     87.510834      9.871111     5.800
     86.193336    -65.735550     4.350
     87.620415     14.305555     5.520
     86.992081    -40.652500     6.610
     87.857086     32.125000     6.250
     87.554581      4.423333     5.970
     86.821251    -51.066387     3.850
     87.402084    -14.483611     5.490
     84.290833    -80.469170     5.650
     86.804169    -54.360832     6.180
     87.625000      2.024444     5.980
     88.164581     39.574444     6.450
     87.472916    -22.971666     5.870
     88.740837     59.888336     5.200
     88.167084     33.917500     5.980
     88.711670     55.706944     4.990
     88.097504     19.868055     6.060
     87.841667     -7.518055     5.350
     87.392082    -44.875275     6.380
     88.092918     14.171667     5.590
     88.331665     27.612223     4.580
     87.830414    -20.879168     3.810
     87.869164    -22.926111     6.170
     88.110001      1.855000     4.780
     88.329582     20.299166     6.710
     88.031670     -9.041389     5.970
     87.739998    -35.768333     3.120
     89.395836     66.096115     6.250
     87.457085    -56.166668     4.510
     87.997917    -29.448610     6.450
     87.619164    -52.767776     6.350
     89.059998     51.803886     6.490
     88.745834     31.701668     5.900
     88.595413     20.276112     4.410
     88.555832     10.586945     6.120
     87.721664    -52.108887     5.170
     88.634163     11.762500     6.590
     88.565414      3.225278     6.310
     88.736252     19.749722     5.920
     88.138336    -37.631111     5.630
     89.270416     49.029446     6.470
     88.198753    -38.525833     6.700
     88.278748    -33.801388     4.870
     88.683746      0.968333     6.000
     88.644585     -4.063889     6.570
     82.557915    -84.784996     6.200
     88.489166    -19.638332     6.690
     88.792915      7.406945     0.500
     86.950417    -72.702217     6.530
     88.955414     20.174999     5.400
     87.473335    -66.901115     5.110
     88.681664    -11.773889     5.660
     89.140831     28.942221     6.320
     89.014580     13.925278     6.600
     88.558746    -29.147778     6.360
     88.345413    -42.921391     6.550
     88.876251     -4.616389     5.870
     88.897499     -4.788333     6.280
     88.084587    -57.156113     5.940
     87.845833    -64.033607     6.360
     89.233749     24.249722     6.020
     89.116669      9.509722     5.990
     89.206253     11.521111     5.870
     89.881668     54.284721     3.720
     91.288750     75.585838     6.400
     89.940414     55.320831     6.440
     89.950417     54.547222     6.140
     89.840836     49.924446     5.890
     88.718750    -39.958057     5.570
     88.544586    -50.361942     6.520
     89.498749     25.953890     4.820
     89.101250    -14.167778     3.710
     89.059586    -22.840279     5.960
     88.874580    -37.120831     4.970
     89.882080     44.947502     1.900
     88.671249    -49.626942     6.100
     89.143753    -23.215557     6.360
     89.983749     45.936947     4.260
     89.087082    -31.382500     5.500
     89.475830      1.224445     6.220
     88.709167    -52.635281     5.290
     89.930420     37.212502     2.620
     90.079170     44.591942     6.220
     89.548752     -0.994167     6.220
     89.204170    -31.976112     6.440
     89.721664     12.808611     5.700
     89.601669      1.836944     5.900
     90.244164     47.901947     5.730
     88.525414    -63.090000     4.650
     89.706665      0.553056     5.220
     88.549583    -64.482224     6.630
     90.429581     48.959446     5.960
     89.384163    -35.283333     4.360
     89.754166     -9.382222     6.120
     89.767914     -9.558333     5.030
     89.907082     -1.444445     6.630
     90.292503     31.034721     5.980
     90.251663     27.572224     6.050
     90.702919     49.905556     6.050
     90.014168     -3.074167     4.530
     89.309998    -53.426113     6.450
     90.723335     43.378609     6.420
     90.423332     22.400833     6.370
     89.656670    -44.034443     5.810
     90.073753    -12.899722     6.220
     90.824997     42.911667     6.100
     89.786667    -42.815277     3.960
     91.284584     59.393059     6.340
     90.729584     32.635834     6.240
     91.121246     51.573334     6.450
     90.595833      9.647500     4.120
     87.569580    -79.361389     5.470
     91.663330     63.453613     6.390
     90.571251      1.694445     6.590
     90.459999    -10.598055     4.950
     90.304581    -25.417778     6.050
     90.863747     19.690556     5.140
     90.318336    -33.911667     5.550
     91.264168     42.981667     5.870
     90.852913     11.680834     6.080
     91.029999     23.263334     4.160
     90.980003     20.138332     4.630
     90.640831    -14.497223     6.200
     91.260834     37.964169     6.340
     90.205002    -51.216389     5.670
     91.391670     33.599167     6.230
     90.814583    -26.284445     5.040
     91.535416     35.387501     6.120
     91.056252     -6.709167     5.210
     91.646248     38.482777     5.360
     91.242500      5.420000     5.670
     91.243332      4.158611     5.630
     91.593750     29.512501     6.080
     91.862083     41.854164     6.120
     91.246246    -16.484446     4.930
     91.084587    -32.172501     5.650
     91.362503    -10.242778     5.870
     90.538330    -60.096943     6.450
     92.496246     58.935833     5.360
     92.095833     41.055553     6.360
     91.661247     -4.193889     5.380
     91.538750    -14.935278     4.670
     91.440414    -24.195555     6.950
     91.118332    -45.036667     6.350
     91.167503    -45.078888     5.930
     91.892914     14.768333     4.420
     91.362915    -35.513611     5.800
     91.716248    -11.173612     6.660
     91.195419    -48.458611     6.580
     91.633331    -23.110556     5.470
     91.522919    -29.758612     5.810
     93.212914     65.718330     5.320
     91.739998    -21.812777     5.780
     92.196663      8.670000     6.550
     91.923332    -19.165833     5.310
     92.385002     22.189999     5.930
     91.765419    -34.311943     5.830
     91.670830    -42.298611     6.120
     92.941666     52.647224     6.300
     92.433334     23.113335     5.750
     92.241249      2.499444     5.730
     92.902084     48.713055     6.820
     92.902496     48.711113     6.090
     91.881668    -37.253056     5.020
     91.757919    -45.091389     6.510
     92.400833     -5.711111     6.170
     92.241249    -22.427500     5.500
     91.970413    -42.153889     5.500
     92.334587    -18.126112     6.350
     92.392914    -14.584167     5.560
     92.757500     18.129444     6.330
     92.884583     24.420277     5.800
     92.449585    -22.774166     5.710
     92.144165    -44.356110     6.270
     93.438751     51.172501     6.040
     93.083748     32.693333     5.780
     92.964165     21.868610     6.560
     92.866249     13.638611     6.040
     92.446663    -26.700834     6.270
     93.005417     19.790556     5.750
     91.539169    -66.039719     5.710
     92.755417     -6.754167     6.150
     91.764168    -62.154724     5.050
     93.079582     22.908333     6.390
     93.013748     16.130556     4.950
     92.985001     14.208889     4.480
     92.644165    -27.154167     5.720
     93.919167     59.999168     5.350
     92.932083     -4.665555     6.180
     92.542915    -40.353611     5.580
     92.347084    -49.562778     6.490
     92.965836     -6.550278     5.050
     92.806252    -26.482224     6.090
     93.389168     18.680277     6.580
     93.302498     10.627501     6.450
     94.711670     69.319717     4.800
     93.184998     -2.504444     6.620
     92.666252    -45.281944     6.310
     92.574585    -54.968613     4.810
     93.192917    -17.763056     6.520
     93.619164     17.906389     5.880
     94.478333     61.515278     4.980
     93.719170     22.506666     3.280
     93.912498     36.148613     6.920
     93.476250     -3.741389     5.830
     93.844582     29.498056     4.350
     93.712082     19.156389     5.200
     92.184166    -68.843338     5.060
     93.785416     13.851111     5.910
     93.854584     16.143055     5.300
     93.652916     -4.568333     5.830
     93.437920    -23.861944     6.390
     93.388748    -29.396111     6.540
     93.713753     -6.274723     3.980
     94.394585     46.424168     6.520
     93.937500     12.551111     5.330
     94.079170     23.970001     6.080
     93.917084      6.066111     6.070
     93.945831      4.283611     6.640
     93.892914     -0.512222     5.650
     93.873749     -4.915278     5.990
     94.099167     17.181389     6.390
     93.974998      1.169167     6.370
     93.858330     -9.035278     6.100
     94.905830     59.010834     4.480
     94.570419     46.360554     6.380
     94.244583     23.740833     6.250
     94.110832     12.272222     5.040
     93.785004    -20.272223     5.910
     93.822914    -18.476667     5.990
     93.937080    -13.718333     5.010
     92.812500    -65.589447     5.010
     94.088333      1.080278     6.630
     94.277496      9.942500     5.390
     94.243332      7.053056     6.570
     94.032082    -16.617779     5.920
     94.388748     14.058333     6.590
     94.317085      5.100278     5.710
     93.988335    -29.788332     6.670
     94.523331     14.382778     6.160
     94.264580    -22.715000     6.070
     94.396667    -10.725277     6.750
     94.137917    -35.140556     4.370
     95.514999     59.372219     5.940
     94.757500     17.325001     6.320
     94.668747      9.047223     6.240
     94.423752    -16.815832     5.140
     92.559998    -74.753052     5.090
     94.148331    -39.264446     6.000
     94.254997    -37.737499     5.530
     95.442085     53.452225     5.360
     94.289581    -37.253056     5.870
     94.557083    -19.966946     5.520
     94.710831     -9.390278     5.360
     94.703331    -15.024722     6.060
     95.017502     14.651111     5.690
     94.782913     -8.586389     6.220
     94.745834    -20.926111     5.810
     95.300415     29.541111     6.430
     94.928337     -7.823055     5.270
     94.077080    -59.213612     6.430
     94.998337     -2.944444     4.900
     95.217918     11.756389     6.540
     95.357918     17.763611     6.350
     94.465416    -52.733055     6.410
     94.920830    -34.396667     5.780
     95.357498      2.268611     6.310
     94.695000    -50.359165     7.040
     95.078331    -30.063334     3.020
     93.774582    -71.702774     6.640
     95.352913    -11.773334     5.640
     97.060837     70.535553     5.970
     95.739998     22.513611     2.880
     95.652084     12.570000     6.000
     95.151253    -34.143890     5.530
     96.224586     49.288055     4.910
     95.025414    -48.741112     6.600
     96.607498     56.285000     5.640
     95.827080      3.764444     6.400
     96.703751     58.417225     5.210
     95.675003    -17.955833     1.980
     95.844582     -4.687222     6.670
     95.528336    -33.436390     3.850
     96.219170     29.707224     6.710
     95.942085      4.592778     4.440
     95.943748      4.595556     6.720
     96.009583      8.884722     6.260
     95.900002     -9.874445     6.190
     96.220413     16.056944     6.330
     95.941666    -15.071667     6.240
     96.387085     23.326946     6.060
     96.042915    -11.530277     5.220
     95.948334    -19.785276     6.600
     95.809998    -31.789999     6.340
     96.367081     14.721944     6.240
     96.085419    -12.962500     6.120
     96.304581      7.085834     5.980
     95.982918    -25.577778     5.630
     96.326668      1.501111     6.660
     96.318336     -0.946111     5.870
     96.962914     47.405281     6.560
     96.444168      2.272222     6.510
     96.004166    -36.707779     5.620
     96.446251     -3.889167     6.350
     96.182915    -28.780001     6.390
     96.897919     32.563053     6.430
     95.732498    -56.369999     5.610
     96.495003     -7.894166     6.400
     95.907082    -52.181114     5.980
     96.185417    -40.284164     6.310
     96.665001     -1.507222     5.870
     96.643753     -4.597222     6.150
     95.987915    -52.695835    -0.720
     96.744583      0.840833     6.710
     96.687080     -7.511389     6.270
     96.374580    -35.063889     6.250
     96.985832     20.496111     6.220
     97.696663     58.162781     5.880
     97.142082     30.493055     5.550
     96.834999      2.908056     5.550
     96.807503      0.299167     5.200
     96.815002     -0.276111     5.550
     95.945419    -58.543888     6.480
     95.755417    -63.683056     6.270
     97.512497     46.685558     5.900
     97.235832     26.967779     6.470
     97.116669     16.238333     6.230
     96.200836    -52.806389     6.510
     97.078331     10.303889     6.150
     97.240837     20.212223     4.150
     96.989998     -4.762222     5.060
     96.057083    -60.281113     5.800
    100.070000     79.599449     6.540
     97.070000      1.912222     6.480
     96.431664    -48.177223     5.760
     96.796669    -25.856667     6.070
    101.125832     82.115273     6.650
     97.250000     11.019444     6.590
     95.659164    -69.984161     5.560
     96.781250    -37.895557     6.480
     96.109581    -63.428890     6.460
     97.312080      2.646111     6.160
     97.204170     -7.032778     4.600
     97.206253     -7.034444     5.400
     97.206253     -7.034444     5.600
     97.155418    -17.466112     5.770
     96.231667    -63.827778     6.270
     97.042084    -32.579998     4.480
     97.522919      9.029166     6.570
    100.120003     77.995827     5.730
     97.163330    -32.371109     5.740
     99.478752     73.695557     6.240
     97.792084     16.938610     6.200
     97.547081    -10.081388     5.930
     97.176247    -41.074444     6.320
     96.766670    -58.002224     5.820
     97.789581     11.250834     6.140
     97.905830     15.903333     6.400
     98.113335     32.454723     5.870
     97.644585    -13.148055     6.160
     97.913330     11.792223     6.650
     97.951248     11.544445     5.230
     98.636665     55.353054     6.450
     96.369164    -69.690277     5.380
     98.097084     11.673612     6.030
     97.845833    -12.391666     5.150
     97.692917    -27.769444     5.930
     97.958748     -8.158055     5.430
     98.080002      4.855833     5.840
     98.427917     33.024166     6.420
     97.454582    -50.239166     5.270
     98.225830      7.333055     4.500
     98.096252     -5.868889     5.600
     97.963753    -23.418333     4.330
     97.804169    -35.259167     5.840
     97.368752    -56.852776     5.220
     97.749168    -40.916389     6.200
     98.400414     14.155277     5.530
     98.195419    -11.166389     6.240
     97.895836    -36.940002     6.340
     99.422501     61.481113     5.940
     98.407913     -1.220278     5.100
    100.134163     71.748886     5.920
     98.162498    -32.030556     5.690
     98.800415     28.022223     5.270
     98.088753    -37.696667     5.240
     97.826248    -51.826111     5.600
    101.558746     79.564728     5.450
     99.410416     56.857498     5.850
     98.360832    -20.923889     6.400
     98.693336      7.572500     6.450
     99.137085     38.445278     5.290
     98.823334      9.988334     5.880
     98.292915    -38.625275     6.440
     97.512497    -65.568329     6.290
     98.815834      0.890000     5.800
     97.794167    -61.879719     6.150
     98.456253    -36.232224     5.420
     97.993332    -58.754166     5.700
     99.000000      4.497500     6.550
     98.764168    -22.964724     4.540
     98.647087    -32.716389     5.620
     98.358749    -52.328888     6.190
     99.363335     24.590834     6.440
     99.147087     -5.211111     5.520
     99.664581     39.390835     5.690
     99.705002     39.902500     5.200
     99.427917     16.399166     1.930
     99.350418      6.135278     6.060
     99.095001    -18.660000     5.700
     98.850418    -36.779999     5.590
     99.595833     28.984167     5.790
     99.403748     10.853056     6.380
     99.832916     42.488888     4.790
     99.194580    -13.320833     5.970
     99.170830    -19.255833     3.950
     99.417915      2.704167     6.170
     98.974998    -36.088886     6.350
     99.469582      4.957222     6.150
     99.170418    -22.615000     6.350
     99.991669     44.013889     6.410
     98.744164    -52.975555     4.390
     99.772087     22.030832     6.040
     99.420418    -12.985001     6.120
     99.887917     28.263056     6.030
     99.880836     24.600000     6.380
     99.585419     -2.543611     6.140
     99.706253      4.700555     6.570
     99.658752      1.613611     6.210
     99.472504    -18.237501     4.430
     99.257919    -38.146667     6.040
     99.213753    -41.556942     6.340
